target_id,ranking_mode,rank,score,selected,ablation_group,schema_version
generated_mux_tree_4|mux_tree_root|dc2|new_n10,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_4|mux_tree_root|resyn2|new_n12,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
generated_mux_tree_4|mux_tree_root|resyn2|new_n12,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_4|mux_tree_root|resyn2|new_n12,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_4|mux_tree_root|resyn2|new_n12,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_4|mux_tree_root|resyn2|new_n12,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_4|mux_tree_root|resyn2|new_n9,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
generated_mux_tree_4|mux_tree_root|resyn2|new_n9,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_4|mux_tree_root|resyn2|new_n9,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_4|mux_tree_root|resyn2|new_n9,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_4|mux_tree_root|resyn2|new_n9,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n18,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n18,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n18,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n18,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n18,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n24,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n24,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n24,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n24,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n24,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n27,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n27,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n27,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n27,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n27,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n28,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n28,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n28,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n28,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n28,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n15,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n15,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n15,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n15,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n15,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n19,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n19,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n19,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n19,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n19,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n29,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n29,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n29,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n29,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n29,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n15,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n15,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n15,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n15,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n15,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n19,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n19,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n19,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n19,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n19,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n29,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n29,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n29,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n29,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n29,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n20,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n20,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n20,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n20,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n20,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,boundary_utility_aware_ranking,1,3.000,true,boundary_utility_aware_ranking,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,critical_path_aware_ranking,1,2.500,false,critical_path_aware_ranking,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,combined_ranking,1,4.000,true,combined_ranking,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,old_target_selection,1,1.000,false,old_target_selection,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,proof_easiness_ranking,1,2.000,false,proof_easiness_ranking,active_source_counterpart_refactoring_v1
