region_id,case_id,optimization,source_type,input_count,output_count,structural_coverage,simulation_coverage,boolean_difference_coverage,formal_dependency_coverage,dependency_density,row_density_mean,column_density_mean,lower_triangularity,upper_triangularity,diagonal_concentration,bandwidth,minimum_dependency_slope,maximum_dependency_slope,carry_progression_score,multiplier_diagonal_score,operand_symmetry_score,output_prefix_dependency_score,selectivity_change_score,single_output_control_score,high_bit_priority_score,locality_score,regularity_score,simulation_evidence_level,boolean_difference_evidence_level,pattern_count,seed,runtime_seconds,schema_version
arithmetic_affine_w6__identity__ground_truth_region,arithmetic_affine_w6,identity,ground_truth_region,6,9,1.000000,1.000000,1.000000,0.000000,0.888889,0.888889,0.888889,0.687500,0.479167,0.166667,0.625000,0.000000,7.000000,0.472656,0.740741,1.000000,0.687500,1.000000,0.000000,0.800000,0.375000,0.000000,sampled_estimate,formal_exhaustive,128,41,0.055489,semantic_dependency_v1
arithmetic_affine_w6__identity__whole_output_cone,arithmetic_affine_w6,identity,whole_output_cone,6,9,1.000000,1.000000,1.000000,0.000000,0.888889,0.888889,0.888889,0.687500,0.479167,0.166667,0.625000,0.000000,7.000000,0.472656,0.740741,1.000000,0.687500,1.000000,0.000000,0.800000,0.375000,0.000000,sampled_estimate,formal_exhaustive,128,41,0.054278,semantic_dependency_v1
arithmetic_affine_w8__identity__ground_truth_region,arithmetic_affine_w8,identity,ground_truth_region,8,11,1.000000,1.000000,1.000000,0.000000,0.909091,0.909091,0.909091,0.650000,0.475000,0.125000,0.700000,0.000000,9.000000,0.422500,0.795455,1.000000,0.650000,1.000000,0.000000,0.833333,0.300000,0.000000,sampled_estimate,formal_exhaustive,128,41,0.474286,semantic_dependency_v1
arithmetic_affine_w8__identity__whole_output_cone,arithmetic_affine_w8,identity,whole_output_cone,8,11,1.000000,1.000000,1.000000,0.000000,0.909091,0.909091,0.909091,0.650000,0.475000,0.125000,0.700000,0.000000,9.000000,0.422500,0.795455,1.000000,0.650000,1.000000,0.000000,0.833333,0.300000,0.000000,sampled_estimate,formal_exhaustive,128,41,0.617132,semantic_dependency_v1
arithmetic_bilinear_w2__identity__ground_truth_region,arithmetic_bilinear_w2,identity,ground_truth_region,8,5,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.375000,0.750000,0.125000,1.000000,0.000000,4.000000,0.187500,0.875000,1.000000,0.375000,0.000000,0.000000,1.000000,0.000000,1.000000,sampled_estimate,formal_exhaustive,128,41,0.099433,semantic_dependency_v1
arithmetic_bilinear_w2__identity__whole_output_cone,arithmetic_bilinear_w2,identity,whole_output_cone,8,5,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.375000,0.750000,0.125000,1.000000,0.000000,4.000000,0.187500,0.875000,1.000000,0.375000,0.000000,0.000000,1.000000,0.000000,1.000000,sampled_estimate,formal_exhaustive,128,41,0.077689,semantic_dependency_v1
arithmetic_constant_multiply_w2__balance__whole_output_cone,arithmetic_constant_multiply_w2,balance,whole_output_cone,2,4,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.875000,0.625000,0.500000,0.333333,0.000000,3.000000,0.729167,0.500000,1.000000,0.875000,0.000000,0.000000,1.000000,0.666667,1.000000,sampled_estimate,formal_exhaustive,128,41,0.000587,semantic_dependency_v1
arithmetic_constant_multiply_w2__compress2rs__whole_output_cone,arithmetic_constant_multiply_w2,compress2rs,whole_output_cone,2,4,1.000000,1.000000,1.000000,0.000000,0.875000,0.875000,0.875000,1.000000,0.571429,0.571429,0.333333,1.000000,3.000000,0.833333,0.375000,0.750000,1.000000,0.500000,0.000000,1.000000,0.666667,0.500000,sampled_estimate,formal_exhaustive,128,41,0.000566,semantic_dependency_v1
arithmetic_constant_multiply_w2__dc2__whole_output_cone,arithmetic_constant_multiply_w2,dc2,whole_output_cone,2,4,1.000000,1.000000,1.000000,0.000000,0.875000,0.875000,0.875000,1.000000,0.571429,0.571429,0.333333,1.000000,3.000000,0.833333,0.375000,0.750000,1.000000,0.500000,0.000000,1.000000,0.666667,0.500000,sampled_estimate,formal_exhaustive,128,41,0.000537,semantic_dependency_v1
arithmetic_constant_multiply_w2__identity__ground_truth_region,arithmetic_constant_multiply_w2,identity,ground_truth_region,2,4,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.875000,0.625000,0.500000,0.333333,0.000000,3.000000,0.729167,0.500000,1.000000,0.875000,0.000000,0.000000,1.000000,0.666667,1.000000,sampled_estimate,formal_exhaustive,128,41,0.000532,semantic_dependency_v1
