region_id,case_id,optimization,source_type,direction,interface_position,raw_node_name,canonical_node_id,bus_name,bit_index,role
arithmetic_affine_w4__balance__whole_output_cone,arithmetic_affine_w4,balance,whole_output_cone,output,1,y_1,y_1,y,1,output
arithmetic_affine_w4__balance__whole_output_cone,arithmetic_affine_w4,balance,whole_output_cone,output,2,y_2,y_2,y,2,output
arithmetic_affine_w4__balance__whole_output_cone,arithmetic_affine_w4,balance,whole_output_cone,output,3,y_3,y_3,y,3,output
arithmetic_affine_w4__balance__whole_output_cone,arithmetic_affine_w4,balance,whole_output_cone,output,4,y_4,y_4,y,4,output
arithmetic_affine_w4__balance__whole_output_cone,arithmetic_affine_w4,balance,whole_output_cone,output,5,y_5,y_5,y,5,output
arithmetic_affine_w4__balance__whole_output_cone,arithmetic_affine_w4,balance,whole_output_cone,output,6,y_6,y_6,y,6,output
arithmetic_affine_w4__compress2rs__whole_output_cone,arithmetic_affine_w4,compress2rs,whole_output_cone,input,0,a_0,a_0,a,0,data_operand
arithmetic_affine_w4__compress2rs__whole_output_cone,arithmetic_affine_w4,compress2rs,whole_output_cone,input,1,a_1,a_1,a,1,data_operand
arithmetic_affine_w4__compress2rs__whole_output_cone,arithmetic_affine_w4,compress2rs,whole_output_cone,input,2,a_2,a_2,a,2,data_operand
arithmetic_affine_w4__compress2rs__whole_output_cone,arithmetic_affine_w4,compress2rs,whole_output_cone,input,3,a_3,a_3,a,3,data_operand
arithmetic_affine_w4__compress2rs__whole_output_cone,arithmetic_affine_w4,compress2rs,whole_output_cone,output,0,y_0,y_0,y,0,output
arithmetic_affine_w4__compress2rs__whole_output_cone,arithmetic_affine_w4,compress2rs,whole_output_cone,output,1,y_1,y_1,y,1,output
arithmetic_affine_w4__compress2rs__whole_output_cone,arithmetic_affine_w4,compress2rs,whole_output_cone,output,2,y_2,y_2,y,2,output
arithmetic_affine_w4__compress2rs__whole_output_cone,arithmetic_affine_w4,compress2rs,whole_output_cone,output,3,y_3,y_3,y,3,output
arithmetic_affine_w4__compress2rs__whole_output_cone,arithmetic_affine_w4,compress2rs,whole_output_cone,output,4,y_4,y_4,y,4,output
arithmetic_affine_w4__compress2rs__whole_output_cone,arithmetic_affine_w4,compress2rs,whole_output_cone,output,5,y_5,y_5,y,5,output
arithmetic_affine_w4__compress2rs__whole_output_cone,arithmetic_affine_w4,compress2rs,whole_output_cone,output,6,y_6,y_6,y,6,output
arithmetic_affine_w4__dc2__whole_output_cone,arithmetic_affine_w4,dc2,whole_output_cone,input,0,a_0,a_0,a,0,data_operand
