region_id,case_id,optimization,source_type,status,skip_reason
arithmetic_affine_w16__resub__ground_truth_region,arithmetic_affine_w16,resub,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_affine_w16__resub__whole_output_cone,arithmetic_affine_w16,resub,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_affine_w16__resyn__ground_truth_region,arithmetic_affine_w16,resyn,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_affine_w16__resyn__whole_output_cone,arithmetic_affine_w16,resyn,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_affine_w16__resyn2__ground_truth_region,arithmetic_affine_w16,resyn2,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_affine_w16__resyn2__whole_output_cone,arithmetic_affine_w16,resyn2,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_affine_w16__rewrite__ground_truth_region,arithmetic_affine_w16,rewrite,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_affine_w16__rewrite__whole_output_cone,arithmetic_affine_w16,rewrite,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_affine_w2__balance__ground_truth_region,arithmetic_affine_w2,balance,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_affine_w2__compress2rs__ground_truth_region,arithmetic_affine_w2,compress2rs,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_affine_w2__dc2__ground_truth_region,arithmetic_affine_w2,dc2,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_affine_w2__refactor__ground_truth_region,arithmetic_affine_w2,refactor,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_affine_w2__resub__ground_truth_region,arithmetic_affine_w2,resub,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_affine_w2__resyn__ground_truth_region,arithmetic_affine_w2,resyn,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_affine_w2__resyn2__ground_truth_region,arithmetic_affine_w2,resyn2,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_affine_w2__rewrite__ground_truth_region,arithmetic_affine_w2,rewrite,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_affine_w3__balance__ground_truth_region,arithmetic_affine_w3,balance,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_affine_w3__compress2rs__ground_truth_region,arithmetic_affine_w3,compress2rs,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_affine_w3__dc2__ground_truth_region,arithmetic_affine_w3,dc2,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_affine_w3__refactor__ground_truth_region,arithmetic_affine_w3,refactor,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_affine_w3__resub__ground_truth_region,arithmetic_affine_w3,resub,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_affine_w3__resyn__ground_truth_region,arithmetic_affine_w3,resyn,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_affine_w3__resyn2__ground_truth_region,arithmetic_affine_w3,resyn2,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_affine_w3__rewrite__ground_truth_region,arithmetic_affine_w3,rewrite,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_affine_w4__balance__ground_truth_region,arithmetic_affine_w4,balance,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_affine_w4__compress2rs__ground_truth_region,arithmetic_affine_w4,compress2rs,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_affine_w4__dc2__ground_truth_region,arithmetic_affine_w4,dc2,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_affine_w4__refactor__ground_truth_region,arithmetic_affine_w4,refactor,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_affine_w4__resub__ground_truth_region,arithmetic_affine_w4,resub,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_affine_w4__resyn__ground_truth_region,arithmetic_affine_w4,resyn,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_affine_w4__resyn2__ground_truth_region,arithmetic_affine_w4,resyn2,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_affine_w4__rewrite__ground_truth_region,arithmetic_affine_w4,rewrite,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
