benchmark,optimization,depth,total_opt_nodes,avg_rank1_region_score,avg_rank1_cone_sim,avg_rank1_cone_support,avg_rank1_cone_size_sim,pct_rank1_above_0_8
generated_multiplier_4,refactor_z,3,100,0.7810503665941294,0.931484375,0.5841186620210378,0.8166071428571429,0.32
generated_multiplier_4,resub,1,101,0.7889454782531824,0.9662360767326733,0.5145685997171145,1.0,0.32673267326732675
generated_multiplier_4,resub,2,101,0.8091749854930548,0.9935024752475248,0.5372474884851123,0.9752475247524752,0.37623762376237624
generated_multiplier_4,resub,3,101,0.8309241223301168,0.9964418316831684,0.5984836173528734,0.9330975954738331,0.42574257425742573
generated_multiplier_4,resyn,1,83,0.7192125197217442,0.9289815512048193,0.38881239242685023,0.9919678714859438,0.25301204819277107
generated_multiplier_4,resyn,2,83,0.7457823318958484,0.9401826054216867,0.45810307497054487,0.9244979919678715,0.26506024096385544
generated_multiplier_4,resyn,3,83,0.7597239747760367,0.9421121987951807,0.5162695163290761,0.8216006884681584,0.30120481927710846
generated_multiplier_4,resyn2,1,82,0.708938144236353,0.9283060213414634,0.36399535423925666,0.991869918699187,0.23170731707317074
generated_multiplier_4,resyn2,2,82,0.738877703851027,0.9266387195121951,0.45393651064382773,0.9398373983739837,0.24390243902439024
generated_multiplier_4,resyn2,3,82,0.7525948567244175,0.9304020579268293,0.5116974033165606,0.8271486643437863,0.2804878048780488
generated_multiplier_4,resyn2_like,1,82,0.708938144236353,0.9283060213414634,0.36399535423925666,0.991869918699187,0.23170731707317074
generated_multiplier_4,resyn2_like,2,82,0.738877703851027,0.9266387195121951,0.45393651064382773,0.9398373983739837,0.24390243902439024
generated_multiplier_4,resyn2_like,3,82,0.7525948567244175,0.9304020579268293,0.5116974033165606,0.8271486643437863,0.2804878048780488
generated_multiplier_4,rewrite,1,85,0.7651523546918767,0.9528033088235294,0.4718767507002801,1.0,0.3176470588235294
generated_multiplier_4,rewrite,2,85,0.7806541390594699,0.9602481617647058,0.5140702434820081,0.9490196078431372,0.3176470588235294
generated_multiplier_4,rewrite,3,85,0.7963593862349759,0.9625919117647059,0.5754036739207731,0.8490196078431372,0.32941176470588235
generated_multiplier_4,rewrite_z,1,91,0.7364528142987964,0.9239783653846154,0.4379905808477237,0.9926739926739927,0.25274725274725274
generated_multiplier_4,rewrite_z,2,91,0.7644027789022638,0.9271548763736264,0.5201036448289196,0.9278388278388279,0.2967032967032967
generated_multiplier_4,rewrite_z,3,91,0.7795626294208924,0.927240728021978,0.5858230889564696,0.8161302982731554,0.32967032967032966
generated_mux_tree_16,balance,1,44,0.8560614568536932,0.9884865500710227,0.6545454545454545,1.0,0.5454545454545454
generated_mux_tree_16,balance,2,44,0.9151515151515152,1.0,0.7878787878787878,1.0,0.7272727272727273
generated_mux_tree_16,balance,3,44,0.9418181818181818,1.0,0.8545454545454545,1.0,0.8181818181818182
generated_mux_tree_16,compress2rs,1,44,0.6518722256747159,0.66192626953125,0.6090909090909091,0.7727272727272727,0.0
generated_mux_tree_16,compress2rs,2,44,0.7401463839708469,0.7056607333096591,0.7713203463203463,0.7878787878787878,0.18181818181818182
generated_mux_tree_16,compress2rs,3,44,0.7600403790003399,0.7045232599431818,0.8324203574203575,0.7481060606060606,0.18181818181818182
generated_mux_tree_16,dc2,1,44,0.576614990234375,0.74822998046875,0.2818181818181818,0.8977272727272727,0.0
generated_mux_tree_16,dc2,2,44,0.585327590568069,0.7602150656960227,0.3255501443001443,0.75,0.0
generated_mux_tree_16,dc2,3,44,0.5827545250086088,0.7569691051136364,0.33453856749311295,0.7045454545454546,0.0
generated_mux_tree_16,refactor,1,44,0.8560614568536932,0.9884865500710227,0.6545454545454545,1.0,0.5454545454545454
generated_mux_tree_16,refactor,2,44,0.9151515151515152,1.0,0.7878787878787878,1.0,0.7272727272727273
generated_mux_tree_16,refactor,3,44,0.9418181818181818,1.0,0.8545454545454545,1.0,0.8181818181818182
generated_mux_tree_16,refactor_z,1,44,0.8309854403409092,0.9178799715909091,0.6886363636363636,0.9659090909090909,0.5454545454545454
generated_mux_tree_16,refactor_z,2,44,0.8621472044665404,0.8689408735795454,0.8277146464646464,0.9659090909090909,0.5681818181818182
generated_mux_tree_16,refactor_z,3,44,0.8678604403409091,0.8866299715909091,0.8303030303030303,0.9242424242424242,0.5454545454545454
generated_mux_tree_16,resub,1,44,0.8560614568536932,0.9884865500710227,0.6545454545454545,1.0,0.5454545454545454
generated_mux_tree_16,resub,2,44,0.9151515151515152,1.0,0.7878787878787878,1.0,0.7272727272727273
generated_mux_tree_16,resub,3,44,0.9418181818181818,1.0,0.8545454545454545,1.0,0.8181818181818182
generated_mux_tree_16,resyn,1,44,0.6672608531605114,0.6972489790482954,0.6090909090909091,0.75,0.0
generated_mux_tree_16,resyn,2,44,0.7614904890844832,0.7451671253551136,0.7752976190476191,0.7878787878787878,0.18181818181818182
generated_mux_tree_16,resyn,3,44,0.7649205063328599,0.7328713156960227,0.8068181818181818,0.7575757575757576,0.18181818181818182
generated_mux_tree_16,resyn2,1,44,0.6518722256747159,0.66192626953125,0.6090909090909091,0.7727272727272727,0.0
