benchmark,optimization,optimized_node,rank,original_candidate,combined_score,simulation_similarity,support_overlap,depth_similarity,optimized_level,original_level,optimized_fingerprint,original_fingerprint,optimized_support_size,original_support_size,optimized_fanin_count,original_fanin_count
generated_adder_4,balance,new_n35,2,new_n27,0.8125,0.75,1.0,0.5,6,5,17bcb4dd2a9e6776,a29f685b4a595ff0,5,5,2,2
generated_adder_4,balance,new_n35,3,new_n36,0.7125000000000001,0.75,0.7142857142857143,0.5,6,7,17bcb4dd2a9e6776,9765d48dd9ca3fa0,5,7,2,2
generated_adder_4,balance,new_n35,4,new_n44,0.6958333333333334,0.75,0.7142857142857143,0.3333333333333333,6,8,17bcb4dd2a9e6776,2dfcd5b8c807055f,5,7,2,2
generated_adder_4,balance,new_n35,5,new_n28,0.675,0.5,1.0,0.5,6,5,17bcb4dd2a9e6776,4d7a9a3b447efb56,5,5,2,2
generated_adder_4,balance,new_n36,1,new_n36,1.0,1.0,1.0,1.0,7,7,9765d48dd9ca3fa0,9765d48dd9ca3fa0,7,7,2,2
generated_adder_4,balance,new_n36,2,new_n44,0.8125,0.75,1.0,0.5,7,8,9765d48dd9ca3fa0,2dfcd5b8c807055f,7,7,2,2
generated_adder_4,balance,new_n36,3,new_n37,0.725,0.5,1.0,1.0,7,7,9765d48dd9ca3fa0,fc3ae64897cda2dd,7,7,2,2
generated_adder_4,balance,new_n36,4,new_n43,0.725,0.5,1.0,1.0,7,7,9765d48dd9ca3fa0,393e67c0209b96d7,7,7,2,2
generated_adder_4,balance,new_n36,5,new_n45,0.7180555555555556,0.75,0.7777777777777778,0.3333333333333333,7,9,9765d48dd9ca3fa0,66d5aace10a95352,7,9,2,2
generated_adder_4,balance,new_n37,1,new_n37,1.0,1.0,1.0,1.0,7,7,fc3ae64897cda2dd,fc3ae64897cda2dd,7,7,2,2
generated_adder_4,balance,new_n37,2,new_n36,0.725,0.5,1.0,1.0,7,7,fc3ae64897cda2dd,9765d48dd9ca3fa0,7,7,2,2
generated_adder_4,balance,new_n37,3,new_n43,0.725,0.5,1.0,1.0,7,7,fc3ae64897cda2dd,393e67c0209b96d7,7,7,2,2
generated_adder_4,balance,new_n37,4,new_n34,0.6958333333333334,0.75,0.7142857142857143,0.3333333333333333,7,5,fc3ae64897cda2dd,47d1804ed8430f98,7,5,2,2
generated_adder_4,balance,new_n37,5,new_n44,0.675,0.5,1.0,0.5,7,8,fc3ae64897cda2dd,2dfcd5b8c807055f,7,7,2,2
generated_adder_4,balance,new_n39,1,new_n39,1.0,1.0,1.0,1.0,1,1,18892720a7f04077,18892720a7f04077,2,2,2,2
generated_adder_4,balance,new_n39,2,new_n40,0.725,0.5,1.0,1.0,1,1,18892720a7f04077,af423559a1f1be28,2,2,2,2
generated_adder_4,balance,new_n39,3,new_n48,0.725,0.5,1.0,1.0,1,1,18892720a7f04077,c81633045c6eeaa2,2,2,2,2
generated_adder_4,balance,new_n39,4,new_n41,0.5375,0.25,1.0,0.5,1,2,18892720a7f04077,0443617a72b09093,2,2,2,2
generated_adder_4,balance,new_n39,5,new_n45,0.5013888888888889,0.75,0.2222222222222222,0.1111111111111111,1,9,18892720a7f04077,66d5aace10a95352,2,9,2,2
generated_adder_4,balance,new_n40,1,new_n40,1.0,1.0,1.0,1.0,1,1,af423559a1f1be28,af423559a1f1be28,2,2,2,2
generated_adder_4,balance,new_n40,2,new_n39,0.725,0.5,1.0,1.0,1,1,af423559a1f1be28,18892720a7f04077,2,2,2,2
generated_adder_4,balance,new_n40,3,new_n48,0.725,0.5,1.0,1.0,1,1,af423559a1f1be28,c81633045c6eeaa2,2,2,2,2
generated_adder_4,balance,new_n40,4,new_n41,0.5375,0.25,1.0,0.5,1,2,af423559a1f1be28,0443617a72b09093,2,2,2,2
generated_adder_4,balance,new_n40,5,new_n45,0.5013888888888889,0.75,0.2222222222222222,0.1111111111111111,1,9,af423559a1f1be28,66d5aace10a95352,2,9,2,2
generated_adder_4,balance,new_n41,1,new_n41,1.0,1.0,1.0,1.0,2,2,0443617a72b09093,0443617a72b09093,2,2,2,2
generated_adder_4,balance,new_n41,2,new_n48,0.8125,0.75,1.0,0.5,2,1,0443617a72b09093,c81633045c6eeaa2,2,2,2,2
generated_adder_4,balance,new_n41,3,new_n39,0.5375,0.25,1.0,0.5,2,1,0443617a72b09093,18892720a7f04077,2,2,2,2
generated_adder_4,balance,new_n41,4,new_n40,0.5375,0.25,1.0,0.5,2,1,0443617a72b09093,af423559a1f1be28,2,2,2,2
generated_adder_4,balance,new_n41,5,new_n46,0.5027777777777778,0.75,0.2222222222222222,0.125,2,9,0443617a72b09093,cfd18bfa9d5f5272,2,9,2,2
generated_adder_4,balance,new_n42,1,new_n42,1.0,1.0,1.0,1.0,1,1,907a44cc1e67d175,907a44cc1e67d175,2,2,2,2
generated_adder_4,balance,new_n42,2,new_n32,0.8125,0.75,1.0,0.5,1,2,907a44cc1e67d175,921ff67e38bdf4a7,2,2,2,2
