benchmark,optimization,optimized_node,original_candidate,sat_status,union_support_size,exact_distance,sample_size,seed,sampled_distance,absolute_error,exact_rank,sampled_rank,absolute_rank_delta
external_iscas85_c2670,refactor,new_n721,new_n796,verified,12,0.25,1024,2,0.2578125,0.0078125,18.5,19.0,0.5
external_iscas85_c2670,refactor,new_n721,new_n796,verified,12,0.25,1024,3,0.2333984375,0.0166015625,18.5,15.0,3.5
external_iscas85_c2670,refactor,new_n721,new_n796,verified,12,0.25,1024,4,0.275390625,0.025390625,18.5,22.0,3.5
external_iscas85_c2670,refactor,new_n721,new_n796,verified,12,0.25,4096,0,0.25048828125,0.00048828125,18.5,17.0,1.5
external_iscas85_c2670,refactor,new_n721,new_n796,verified,12,0.25,4096,1,0.2470703125,0.0029296875,18.5,18.0,0.5
external_iscas85_c2670,refactor,new_n721,new_n796,verified,12,0.25,4096,2,0.23974609375,0.01025390625,18.5,16.0,2.5
external_iscas85_c2670,refactor,new_n721,new_n796,verified,12,0.25,4096,3,0.25439453125,0.00439453125,18.5,19.0,0.5
external_iscas85_c2670,refactor,new_n721,new_n796,verified,12,0.25,4096,4,0.251708984375,0.001708984375,18.5,16.0,2.5
external_iscas85_c2670,refactor,new_n721,new_n796,verified,12,0.25,8192,0,0.2506103515625,0.0006103515625,18.5,20.0,1.5
external_iscas85_c2670,refactor,new_n721,new_n796,verified,12,0.25,8192,1,0.2508544921875,0.0008544921875,18.5,18.0,0.5
external_iscas85_c2670,refactor,new_n721,new_n796,verified,12,0.25,8192,2,0.2523193359375,0.0023193359375,18.5,21.0,2.5
external_iscas85_c2670,refactor,new_n721,new_n796,verified,12,0.25,8192,3,0.243896484375,0.006103515625,18.5,16.0,2.5
external_iscas85_c2670,refactor,new_n721,new_n796,verified,12,0.25,8192,4,0.2489013671875,0.0010986328125,18.5,19.0,0.5
external_iscas85_c2670,refactor_z,new_n719,new_n796,verified,12,0.25,128,0,0.2578125,0.0078125,18.5,20.0,1.5
external_iscas85_c2670,refactor_z,new_n719,new_n796,verified,12,0.25,128,1,0.28125,0.03125,18.5,20.0,1.5
external_iscas85_c2670,refactor_z,new_n719,new_n796,verified,12,0.25,128,2,0.3046875,0.0546875,18.5,22.0,3.5
external_iscas85_c2670,refactor_z,new_n719,new_n796,verified,12,0.25,128,3,0.265625,0.015625,18.5,19.0,0.5
