stable_target_id,scope,status,abc_available,claimed_global,reason,schema_version
868c3cfdf581d7c0,Sprime_vs_I,not_run,true,false,search_budget_exhaustion,necessity_first_targets_v1
bb8c4b2107d20992,S_vs_Sprime,not_run,true,false,search_budget_exhaustion,necessity_first_targets_v1
bb8c4b2107d20992,Sprime_vs_I,not_run,true,false,search_budget_exhaustion,necessity_first_targets_v1
f114ebc2ccc5f399,S_vs_Sprime,not_run,true,false,search_budget_exhaustion,necessity_first_targets_v1
f114ebc2ccc5f399,Sprime_vs_I,not_run,true,false,search_budget_exhaustion,necessity_first_targets_v1
d0acdf86fe225ffe,S_vs_Sprime,not_run,true,false,search_budget_exhaustion,necessity_first_targets_v1
d0acdf86fe225ffe,Sprime_vs_I,not_run,true,false,search_budget_exhaustion,necessity_first_targets_v1
cde9e114d4be7283,S_vs_Sprime,not_run,true,false,search_budget_exhaustion,necessity_first_targets_v1
cde9e114d4be7283,Sprime_vs_I,not_run,true,false,search_budget_exhaustion,necessity_first_targets_v1
f88000aa6cd5b126,S_vs_Sprime,not_run,true,false,search_budget_exhaustion,necessity_first_targets_v1
f88000aa6cd5b126,Sprime_vs_I,not_run,true,false,search_budget_exhaustion,necessity_first_targets_v1
8035e9f4b2922f75,S_vs_Sprime,not_run,true,false,search_budget_exhaustion,necessity_first_targets_v1
8035e9f4b2922f75,Sprime_vs_I,not_run,true,false,search_budget_exhaustion,necessity_first_targets_v1
aeb284d48148cacc,S_vs_Sprime,equivalent,true,false,identical_driver,necessity_first_targets_v1
aeb284d48148cacc,Sprime_vs_I,equivalent,true,false,identical_driver,necessity_first_targets_v1
2f3ded849a259150,S_vs_Sprime,not_run,true,false,search_budget_exhaustion,necessity_first_targets_v1
2f3ded849a259150,Sprime_vs_I,not_run,true,false,search_budget_exhaustion,necessity_first_targets_v1
