proof_id,source_family,source_table,target_id,tested_interface_width,proved_lower_bound,best_upper_bound,proof_object_path,proof_object_sha256,machine_checkable,schema_version
ca383581a4a7a7bf,formal_locality_barriers,results/formal_locality_barriers/input_exact_minimum_certificates.csv,real_0008,2,2,2,results/evidence_advancement/proof_objects/locality/ca383581a4a7a7bf.json,414167cb7bcbcb990a60544c744542faa27f026f311c0acf7d4c78b165494aef,true,evidence_advancement_v1
885ccee696276f21,formal_locality_barriers,results/formal_locality_barriers/input_exact_minimum_certificates.csv,real_0009,2,2,2,results/evidence_advancement/proof_objects/locality/885ccee696276f21.json,0c205153949062062fb0bf79aa3cddd9ddef4f7395019a78877ec2a09bdd3840,true,evidence_advancement_v1
d686815fbae1be31,formal_locality_barriers,results/formal_locality_barriers/input_exact_minimum_certificates.csv,real_0010,2,2,2,results/evidence_advancement/proof_objects/locality/d686815fbae1be31.json,ec1e2d992cba1be7d4d27deebecb172ace9666fe2b6503947fae1a9337d69001,true,evidence_advancement_v1
c3433f89a2dda893,formal_locality_barriers,results/formal_locality_barriers/input_exact_minimum_certificates.csv,real_0011,2,2,2,results/evidence_advancement/proof_objects/locality/c3433f89a2dda893.json,9a2b6663e699bf2fd6104d0bffd85d7908ff511fa1663b758d42dba91995ac6d,true,evidence_advancement_v1
6eb133697e7d5f72,formal_locality_barriers,results/formal_locality_barriers/input_exact_minimum_certificates.csv,real_0012,2,2,2,results/evidence_advancement/proof_objects/locality/6eb133697e7d5f72.json,84c3b857b977ff50bba011a207fb205aa97b719fbc2e128323312c2e4e4566b2,true,evidence_advancement_v1
90f91a9defed6b28,formal_locality_barriers,results/formal_locality_barriers/input_exact_minimum_certificates.csv,real_0013,2,2,2,results/evidence_advancement/proof_objects/locality/90f91a9defed6b28.json,bf1ee166a1294087fba0b7b99954f1d74ce18088678f1d02fd27b63393181813,true,evidence_advancement_v1
fb18ee8de2478f76,formal_locality_barriers,results/formal_locality_barriers/input_exact_minimum_certificates.csv,real_0014,3,3,3,results/evidence_advancement/proof_objects/locality/fb18ee8de2478f76.json,af388f9bf5b198e784bfcf469807a9a8212f0edab9d9a9e45961bfdd13a9581f,true,evidence_advancement_v1
3832ce5f39b32d45,formal_locality_barriers,results/formal_locality_barriers/input_exact_minimum_certificates.csv,real_0015,3,3,3,results/evidence_advancement/proof_objects/locality/3832ce5f39b32d45.json,b69004847c0430350079c5786fae6e77fb30f5d74fd57c4936443e4c355e2be3,true,evidence_advancement_v1
30a3bf2ae92f2d8f,formal_locality_barriers,results/formal_locality_barriers/input_exact_minimum_certificates.csv,real_0016,3,3,3,results/evidence_advancement/proof_objects/locality/30a3bf2ae92f2d8f.json,875b42aae52c2690fd1f41e84e9626232e66952a42873f94165282b7652d3383,true,evidence_advancement_v1
e5ae2632140b0cd2,formal_locality_barriers,results/formal_locality_barriers/input_exact_minimum_certificates.csv,real_0017,3,3,3,results/evidence_advancement/proof_objects/locality/e5ae2632140b0cd2.json,b6e2688656bddf3d21a950477b9db1e8caf3f85680125a2af5295b324e37a60e,true,evidence_advancement_v1
5b6198fede165601,formal_locality_barriers,results/formal_locality_barriers/input_exact_minimum_certificates.csv,real_0018,3,3,3,results/evidence_advancement/proof_objects/locality/5b6198fede165601.json,e39c807486253beffd7213045653147c4a34e9f64398eae50f6d4de6325c25b0,true,evidence_advancement_v1
6f3a217e3dfe7fef,formal_locality_barriers,results/formal_locality_barriers/input_exact_minimum_certificates.csv,real_0019,3,3,3,results/evidence_advancement/proof_objects/locality/6f3a217e3dfe7fef.json,53cc4bc9a4617e24e186f5ca08f72ca1c8965eb19b93583c45d360d177a58a52,true,evidence_advancement_v1
e15e47559216f63d,formal_locality_barriers,results/formal_locality_barriers/input_exact_minimum_certificates.csv,real_0020,2,2,2,results/evidence_advancement/proof_objects/locality/e15e47559216f63d.json,3a6ccff127724f5a530680d4644094849d7dd671101bf732fc87f1f9d3d82afc,true,evidence_advancement_v1
