analysis_target_id,target_id,benchmark,split,failure_group,source_result,source_path,optimized_path,optimized_target_vector,source_hash,optimized_hash,pi_alignment_status,artifact_status,provenance_status,failure_reason,schema_version
real_0021,controlled_and_factor__b0,controlled_and_factor__b0,dev,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
real_0022,controlled_and_factor__b0,controlled_and_factor__b0,dev,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
real_0023,controlled_and_factor__b0,controlled_and_factor__b0,dev,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
real_0024,controlled_and_factor__b0,controlled_and_factor__b0,dev,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
real_0025,controlled_and_factor__b0,controlled_and_factor__b0,heldout,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
real_0026,controlled_and_factor__b0,controlled_and_factor__b0,dev,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
real_0027,controlled_and_factor__b0,controlled_and_factor__b0,dev,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
real_0028,controlled_and_factor__b0,controlled_and_factor__b0,dev,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
real_0029,controlled_and_factor__b0,controlled_and_factor__b0,dev,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
real_0030,controlled_nonmonotonic_factor__b0,controlled_nonmonotonic_factor__b0,heldout,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
real_0031,controlled_nonmonotonic_factor__b0,controlled_nonmonotonic_factor__b0,dev,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
real_0032,controlled_nonmonotonic_factor__b0,controlled_nonmonotonic_factor__b0,dev,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
real_0033,controlled_nonmonotonic_factor__b0,controlled_nonmonotonic_factor__b0,dev,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
real_0034,controlled_nonmonotonic_factor__b0,controlled_nonmonotonic_factor__b0,dev,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
real_0035,controlled_nonmonotonic_factor__b0,controlled_nonmonotonic_factor__b0,heldout,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
real_0036,controlled_nonmonotonic_factor__b0,controlled_nonmonotonic_factor__b0,dev,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
real_0037,controlled_nonmonotonic_factor__b0,controlled_nonmonotonic_factor__b0,dev,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
real_0038,controlled_nonmonotonic_factor__b0,controlled_nonmonotonic_factor__b0,dev,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
real_0039,controlled_nonmonotonic_factor__b0,controlled_nonmonotonic_factor__b0,dev,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
real_0040,controlled_nonmonotonic_factor__b0,controlled_nonmonotonic_factor__b0,heldout,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
real_0041,controlled_xor_factor__b0,controlled_xor_factor__b0,dev,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
real_0042,controlled_xor_factor__b0,controlled_xor_factor__b0,dev,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
real_0043,controlled_xor_factor__b0,controlled_xor_factor__b0,dev,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
real_0044,controlled_xor_factor__b0,controlled_xor_factor__b0,dev,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
real_0045,controlled_xor_factor__b0,controlled_xor_factor__b0,heldout,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
real_0046,controlled_xor_factor__b0,controlled_xor_factor__b0,dev,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
real_0047,controlled_xor_factor__b0,controlled_xor_factor__b0,dev,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
real_0048,controlled_xor_factor__b0,controlled_xor_factor__b0,dev,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
real_0049,controlled_xor_factor__b0,controlled_xor_factor__b0,dev,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
real_0050,controlled_xor_factor__b0,controlled_xor_factor__b0,heldout,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
real_0051,controlled_xor_factor__b0,controlled_xor_factor__b0,dev,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
real_0052,controlled_xor_factor__b0,controlled_xor_factor__b0,dev,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
real_0053,full_adder_carry__b0,full_adder_carry__b0,dev,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
real_0054,full_adder_carry__b0,full_adder_carry__b0,dev,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
real_0055,full_adder_carry__b0,full_adder_carry__b0,heldout,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
real_0056,full_adder_carry__b0,full_adder_carry__b0,dev,no_globally_anchored_cut,fresh_utility_target,,,[],,,not_run,missing_artifact,insufficient_target_provenance,cannot_resolve_source_optimized_target_from_previous_row,formal_locality_barriers_v1
