boundary_id,trajectory_id,method,from_checkpoint,to_checkpoint,transition,from_level,to_level,schema_version
controlled_and_factor__b0,controlled__controlled_and_factor__rewrite_then_balance,structural,controlled__controlled_and_factor__rewrite_then_balance__cp000_source,controlled__controlled_and_factor__rewrite_then_balance__cp001_strash_1,success_to_failure,R0_structural_survival,R9_unresolved,semantic_recoverability_frontier_v1
controlled_and_factor__b0,controlled__controlled_and_factor__rewrite_then_balance,structural,,,summary,longest_success_interval=1,last_success_checkpoint=0,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,blind_functional_refactoring,,,summary,longest_success_interval=0,last_success_checkpoint=none,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,blind_region_replacement,,,summary,longest_success_interval=0,last_success_checkpoint=none,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,blind_semantic_cegis,,,summary,longest_success_interval=0,last_success_checkpoint=none,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,functional_decomposition,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp000_source,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp001_strash_1,success_to_failure,R7_oracle_window_decomposition,R8_non_local_global_factorisation,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,functional_decomposition,,,summary,longest_success_interval=1,last_success_checkpoint=0,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,functional_survival,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp000_source,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp001_strash_1,success_to_failure,R1_functional_internal_survival,R9_unresolved,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,functional_survival,,,summary,longest_success_interval=1,last_success_checkpoint=0,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,structural,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp000_source,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp001_strash_1,success_to_failure,R0_structural_survival,R9_unresolved,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,structural,,,summary,longest_success_interval=1,last_success_checkpoint=0,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__refactor_dc2,blind_functional_refactoring,,,summary,longest_success_interval=0,last_success_checkpoint=none,semantic_recoverability_frontier_v1
