result_id,boundary_id,trajectory_id,checkpoint_id,oracle_mode,formal_status,solver_result,counterexample_available,counterexample_reproduced,runtime_s,timeout,schema_version
controlled_and_factor__b0__controlled__controlled_and_factor__mild_balance_rewrite__cp001_strash_1__functional_decomposition__oracle_divisor,controlled_and_factor__b0,controlled__controlled_and_factor__mild_balance_rewrite,controlled__controlled_and_factor__mild_balance_rewrite__cp001_strash_1,oracle_divisor,decomposable,unsat,false,true,0.000841,false,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__mild_balance_rewrite__cp001_strash_1__functional_decomposition__oracle_divisor_support,controlled_and_factor__b0,controlled__controlled_and_factor__mild_balance_rewrite,controlled__controlled_and_factor__mild_balance_rewrite__cp001_strash_1,oracle_divisor_support,decomposable,unsat,false,true,0.000841,false,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__mild_balance_rewrite__cp001_strash_1__functional_decomposition__oracle_window,controlled_and_factor__b0,controlled__controlled_and_factor__mild_balance_rewrite,controlled__controlled_and_factor__mild_balance_rewrite__cp001_strash_1,oracle_window,decomposable,unsat,false,true,0.000818,false,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__mild_balance_rewrite__cp002_balance_1__functional_decomposition__oracle_divisor,controlled_and_factor__b0,controlled__controlled_and_factor__mild_balance_rewrite,controlled__controlled_and_factor__mild_balance_rewrite__cp002_balance_1,oracle_divisor,decomposable,unsat,false,true,0.000853,false,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__mild_balance_rewrite__cp002_balance_1__functional_decomposition__oracle_divisor_support,controlled_and_factor__b0,controlled__controlled_and_factor__mild_balance_rewrite,controlled__controlled_and_factor__mild_balance_rewrite__cp002_balance_1,oracle_divisor_support,decomposable,unsat,false,true,0.000773,false,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__mild_balance_rewrite__cp002_balance_1__functional_decomposition__oracle_window,controlled_and_factor__b0,controlled__controlled_and_factor__mild_balance_rewrite,controlled__controlled_and_factor__mild_balance_rewrite__cp002_balance_1,oracle_window,decomposable,unsat,false,true,0.000797,false,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__mild_balance_rewrite__cp003_rewrite_1__functional_decomposition__oracle_divisor,controlled_and_factor__b0,controlled__controlled_and_factor__mild_balance_rewrite,controlled__controlled_and_factor__mild_balance_rewrite__cp003_rewrite_1,oracle_divisor,decomposable,unsat,false,true,0.000658,false,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__mild_balance_rewrite__cp003_rewrite_1__functional_decomposition__oracle_divisor_support,controlled_and_factor__b0,controlled__controlled_and_factor__mild_balance_rewrite,controlled__controlled_and_factor__mild_balance_rewrite__cp003_rewrite_1,oracle_divisor_support,decomposable,unsat,false,true,0.000608,false,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__mild_balance_rewrite__cp003_rewrite_1__functional_decomposition__oracle_window,controlled_and_factor__b0,controlled__controlled_and_factor__mild_balance_rewrite,controlled__controlled_and_factor__mild_balance_rewrite__cp003_rewrite_1,oracle_window,decomposable,unsat,false,true,0.000620,false,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__rewrite_then_balance__cp000_source__functional_decomposition__oracle_divisor,controlled_and_factor__b0,controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp000_source,oracle_divisor,decomposable,unsat,false,true,0.001356,false,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__rewrite_then_balance__cp000_source__functional_decomposition__oracle_divisor_support,controlled_and_factor__b0,controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp000_source,oracle_divisor_support,decomposable,unsat,false,true,0.001327,false,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__rewrite_then_balance__cp000_source__functional_decomposition__oracle_window,controlled_and_factor__b0,controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp000_source,oracle_window,decomposable,unsat,false,true,0.001315,false,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__rewrite_then_balance__cp001_strash_1__functional_decomposition__oracle_divisor,controlled_and_factor__b0,controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp001_strash_1,oracle_divisor,decomposable,unsat,false,true,0.000791,false,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__rewrite_then_balance__cp001_strash_1__functional_decomposition__oracle_divisor_support,controlled_and_factor__b0,controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp001_strash_1,oracle_divisor_support,decomposable,unsat,false,true,0.000818,false,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__rewrite_then_balance__cp001_strash_1__functional_decomposition__oracle_window,controlled_and_factor__b0,controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp001_strash_1,oracle_window,decomposable,unsat,false,true,0.000822,false,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__rewrite_then_balance__cp002_rewrite_1__functional_decomposition__oracle_divisor,controlled_and_factor__b0,controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp002_rewrite_1,oracle_divisor,decomposable,unsat,false,true,0.000642,false,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__rewrite_then_balance__cp002_rewrite_1__functional_decomposition__oracle_divisor_support,controlled_and_factor__b0,controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp002_rewrite_1,oracle_divisor_support,decomposable,unsat,false,true,0.000640,false,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__rewrite_then_balance__cp002_rewrite_1__functional_decomposition__oracle_window,controlled_and_factor__b0,controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp002_rewrite_1,oracle_window,decomposable,unsat,false,true,0.000638,false,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__rewrite_then_balance__cp003_balance_1__functional_decomposition__oracle_divisor,controlled_and_factor__b0,controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp003_balance_1,oracle_divisor,decomposable,unsat,false,true,0.000544,false,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__rewrite_then_balance__cp003_balance_1__functional_decomposition__oracle_divisor_support,controlled_and_factor__b0,controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp003_balance_1,oracle_divisor_support,decomposable,unsat,false,true,0.000552,false,semantic_recoverability_frontier_v1
